Label    Folder     OriginalClass  
-----------------------------------
0        1          1              
1        2          2              
2        3          3              
3        4          4              
4        5          5              
5        6          6              
6        7          7              
7        9          9              
8        10         10             
9        11         11             
10       12         12             
11       13         13             
12       14         14             
13       15         15             
14       18         18             
15       20         20             
16       21         21             
17       22         22             
