Folder     Label       Train      Val     Test    Total
1          0             700      200      100     1000
2          1             700      200      100     1000
3          2             700      200      100     1000
4          3             700      200      100     1000
5          4             700      200      100     1000
6          5             700      200      100     1000
7          6             700      200      100     1000
9          7             700      200      100     1000
10         8             699      200      100      999
11         9             700      200      100     1000
12         10            700      200      100     1000
13         11            700      200      100     1000
14         12            700      200      100     1000
15         13            700      200      100     1000
18         14            700      200      100     1000
20         15            700      200      100     1000
21         16            700      200      100     1000
22         17            697      199      100      996
-------------------------------------------------------
TOTAL                  12596     3599     1800    17995
